Attack_ID,Attack_Name,Attack_Category,Expected_Rule,PCAP_Size_MB,Run,Alerts_Generated,Incidents_Identified,Zeek_Time_s,Detection_Time_s,Incident_Time_s,Total_Time_s,Detection_Throughput_MBps,Incident_Alerts_per_Sec
A01,Timing_Violation,Timing,R015,0.910099,1,3,1,1.55759,0.109121,0.07716,2.34015,5.094897,38.880159
A01,Timing_Violation,Timing,R015,0.910099,2,3,1,1.83074,0.09274,0.067724,2.591562,5.994781,44.29751
A01,Timing_Violation,Timing,R015,0.910099,3,3,1,2.411309,0.113015,0.071886,3.238274,4.91937,41.73273
A02,Polling_Desync,Timing,R016,0.823887,1,3,2,1.287836,0.09852,0.066908,2.073335,5.067618,44.837933
A02,Polling_Desync,Timing,R016,0.823887,2,3,2,1.592857,0.087994,0.065796,2.325283,5.711853,45.595463
A02,Polling_Desync,Timing,R016,0.823887,3,3,2,1.568605,0.115606,0.076263,2.365371,4.34759,39.337544
A03,Replay_Attack,Replay,R009,0.699604,1,6,3,1.802413,0.083252,0.065707,2.511214,5.119396,91.314554
A03,Replay_Attack,Replay,R009,0.699604,2,6,3,1.459043,0.103274,0.071631,2.218116,4.12689,83.763025
A03,Replay_Attack,Replay,R009,0.699604,3,6,3,1.320144,0.087728,0.089758,2.082541,4.858197,66.8467
A04,TID_Anomaly,Protocol_Anomaly,R013,0.015272,1,1,1,1.099075,0.068689,0.067582,1.426375,0.134592,14.796853
A04,TID_Anomaly,Protocol_Anomaly,R013,0.015272,2,1,1,1.113008,0.069045,0.114727,1.575283,0.13384,8.716344
A04,TID_Anomaly,Protocol_Anomaly,R013,0.015272,3,1,1,0.913603,0.080448,0.123769,1.33669,0.114894,8.079592
A05,Microburst_Reads,Recon_Stress,R010,0.246626,1,161,1,1.073629,0.097729,0.062554,1.621172,1.069982,2573.784404
A05,Microburst_Reads,Recon_Stress,R010,0.246626,2,161,1,1.004393,0.064729,0.059333,1.417993,1.61584,2713.491942
A05,Microburst_Reads,Recon_Stress,R010,0.246626,3,161,1,1.116842,0.076954,0.075023,1.602976,1.354815,2146.006813
A06,Illegal_Function,Policy_Violation,R006,0.21975,1,2,2,1.096207,0.068046,0.061725,1.499769,1.975709,32.401818
A06,Illegal_Function,Policy_Violation,R006,0.21975,2,2,2,1.910143,0.071296,0.062654,2.314621,1.885637,31.92146
A06,Illegal_Function,Policy_Violation,R006,0.21975,3,2,2,1.115936,0.086591,0.066209,1.609078,1.55257,30.207527
A07,Unauthorised_Source,Policy_Violation,R014,0.470024,1,503,3,1.531199,0.09986,0.07382,2.133341,2.876825,6813.831151
A07,Unauthorised_Source,Policy_Violation,R014,0.470024,2,503,3,1.25298,0.104258,0.117009,1.850314,2.75544,4298.813482
A07,Unauthorised_Source,Policy_Violation,R014,0.470024,3,503,3,1.768992,0.076856,0.097238,2.30407,3.737868,5172.888421
A08,VLAN_Segmentation,Policy_Violation,R012,0.736492,1,388,1,2.220848,0.228955,0.12754,3.549049,1.963518,3042.193554
A08,VLAN_Segmentation,Policy_Violation,R012,0.736492,2,388,1,2.888157,0.32872,0.248072,4.507924,1.367588,1564.062652
A08,VLAN_Segmentation,Policy_Violation,R012,0.736492,3,388,1,1.913577,0.155224,0.121136,2.886604,2.896177,3203.012443
A09,Role_Register_Violation,Policy_Violation,R005,0.734016,1,2,1,1.92178,0.137837,0.088984,2.881591,3.223202,22.475863
A09,Role_Register_Violation,Policy_Violation,R005,0.734016,2,2,1,1.473649,0.158844,0.094086,2.472224,2.815735,21.257108
A09,Role_Register_Violation,Policy_Violation,R005,0.734016,3,2,1,1.732177,0.141501,0.107941,2.725735,3.160825,18.528625
A10,Multi_Stage_Chain,Multi-Stage,R011,0.48818,1,4,1,1.467426,0.127853,0.096224,2.246685,2.300666,41.569601
A10,Multi_Stage_Chain,Multi-Stage,R011,0.48818,2,4,1,1.482074,0.128144,0.096262,2.316521,2.295397,41.553153
A10,Multi_Stage_Chain,Multi-Stage,R011,0.48818,3,4,1,1.473152,0.194362,0.110626,2.404014,1.513367,36.15794
A11,Slowloris_Hold,Resource_Exhaustion,Perf,1.46896,1,1,1,1.469877,0.136099,0.088898,2.877086,2.985281,11.24882
A11,Slowloris_Hold,Resource_Exhaustion,Perf,1.46896,2,1,1,1.568756,0.203664,0.091671,3.123416,2.008349,10.908569
A11,Slowloris_Hold,Resource_Exhaustion,Perf,1.46896,3,1,1,1.558678,0.147658,0.104592,3.189053,2.770113,9.560941
A12,Register_Scan,Recon_Stress,R010,0.948631,1,562,1,1.665334,0.216259,0.126515,2.860095,2.132807,4442.146613
A12,Register_Scan,Recon_Stress,R010,0.948631,2,562,1,1.513986,0.136127,0.09554,2.670329,3.403702,5882.323203
A12,Register_Scan,Recon_Stress,R010,0.948631,3,562,1,1.910958,0.177256,0.117513,3.261184,2.613727,4782.436293
A13,MITM_Delay_Write,MITM,R015,1.277205,1,867,1,1.79773,0.141828,0.111134,3.077871,3.510118,7801.361956
A13,MITM_Delay_Write,MITM,R015,1.277205,2,867,1,1.593829,0.135913,0.116519,3.097643,3.639909,7440.816416
A13,MITM_Delay_Write,MITM,R015,0.86136,3,2236,7,2.087713,0.184077,0.139352,3.158842,3.477973,16045.718989
A14,MITM_Reorder_Reads,MITM,R016,0.711293,1,2089,3,1.663342,0.161345,0.135452,2.626536,3.187689,15422.386005
A14,MITM_Reorder_Reads,MITM,R016,0.711293,2,2089,3,1.472362,0.160921,0.137506,2.56555,3.197215,15192.044681
A14,MITM_Reorder_Reads,MITM,R016,0.711293,3,2089,3,1.74597,0.19567,0.167998,2.822036,2.633327,12434.674062
A15,MITM_Replay_Read,Replay,R009,0.71937,1,2719,903,1.632522,0.167745,0.240255,2.753651,3.111806,11317.128684
A15,MITM_Replay_Read,Replay,R009,0.71937,2,2719,903,1.458993,0.163883,0.258197,2.547055,3.174568,10530.700561
A15,MITM_Replay_Read,Replay,R009,0.71937,3,2719,903,1.237392,0.186504,0.266765,2.367487,2.798824,10192.487812
A16,Unknown_Attack,Unknown,Unknown,0.238346,1,255,1,1.705747,0.110895,0.098105,2.456189,1.318955,2599.25892
A16,Unknown_Attack,Unknown,Unknown,0.238346,2,255,1,2.175438,0.111136,0.096478,2.799515,1.316088,2643.077836
A16,Unknown_Attack,Unknown,Unknown,0.238346,3,255,1,1.231925,0.098762,0.095683,1.836274,1.480982,2665.050664
