frame.number,frame.time,eth.src,eth.dst,eth.type,ip.src,ip.dst,tcp.srcport,tcp.dstport,_ws.col.protocol,_ws.col.info
"1","Jul 14, 2025 09:49:14.634553000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   310; Unit:   1, Func:   3: Read Holding Registers"
"2","Jul 14, 2025 09:49:14.637388000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=1 Ack=1 Win=19915 Len=12"
"3","Jul 14, 2025 09:49:14.640300000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   310; Unit:   1, Func:   3: Read Holding Registers"
"4","Jul 14, 2025 09:49:14.642012000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=1 Ack=13 Win=502 Len=11"
"5","Jul 14, 2025 09:49:14.685717000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=13 Ack=12 Win=19904 Len=0"
"6","Jul 14, 2025 09:49:14.689284000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 5#1] 64279 → 502 [ACK] Seq=13 Ack=12 Win=19904 Len=0"
"7","Jul 14, 2025 09:49:14.806671000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   311; Unit:   1, Func:   1: Read Coils"
"8","Jul 14, 2025 09:49:14.808729000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=13 Ack=12 Win=19904 Len=12"
"9","Jul 14, 2025 09:49:14.813169000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   311; Unit:   1, Func:   1: Read Coils"
"10","Jul 14, 2025 09:49:14.815598000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=12 Ack=25 Win=502 Len=10"
