frame.number,frame.time,eth.src,eth.dst,eth.type,ip.src,ip.dst,tcp.srcport,tcp.dstport,_ws.col.protocol,_ws.col.info
"1","Jul 14, 2025 09:56:42.544613000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   334; Unit:   1, Func:   1: Read Coils"
"2","Jul 14, 2025 09:56:42.546748000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=1 Ack=1 Win=20117 Len=12"
"3","Jul 14, 2025 09:56:42.550020000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   334; Unit:   1, Func:   1: Read Coils"
"4","Jul 14, 2025 09:56:42.554256000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=1 Ack=13 Win=502 Len=10"
"5","Jul 14, 2025 09:56:42.595892000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=13 Ack=11 Win=20107 Len=0"
"6","Jul 14, 2025 09:56:42.598025000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 5#1] 64279 → 502 [ACK] Seq=13 Ack=11 Win=20107 Len=0"
"7","Jul 14, 2025 09:56:42.713525000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   335; Unit:   1, Func:   4: Read Input Registers"
"8","Jul 14, 2025 09:56:42.715368000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=13 Ack=11 Win=20107 Len=12"
"9","Jul 14, 2025 09:56:42.718758000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   335; Unit:   1, Func:   4: Read Input Registers"
"10","Jul 14, 2025 09:56:42.720372000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=11 Ack=25 Win=502 Len=11"
"11","Jul 14, 2025 09:56:42.765443000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=25 Ack=22 Win=20096 Len=0"
"12","Jul 14, 2025 09:56:42.767487000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 11#1] 64279 → 502 [ACK] Seq=25 Ack=22 Win=20096 Len=0"
"13","Jul 14, 2025 09:56:42.880702000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   336; Unit:   1, Func:   3: Read Holding Registers"
"14","Jul 14, 2025 09:56:42.884067000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=25 Ack=22 Win=20096 Len=12"
"15","Jul 14, 2025 09:56:42.888324000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   336; Unit:   1, Func:   3: Read Holding Registers"
"16","Jul 14, 2025 09:56:42.889415000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=22 Ack=37 Win=502 Len=11"
"17","Jul 14, 2025 09:56:42.936557000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=37 Ack=33 Win=20085 Len=0"
"18","Jul 14, 2025 09:56:42.939565000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 17#1] 64279 → 502 [ACK] Seq=37 Ack=33 Win=20085 Len=0"
"19","Jul 14, 2025 09:56:43.054047000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   337; Unit:   1, Func:   1: Read Coils"
"20","Jul 14, 2025 09:56:43.055515000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=37 Ack=33 Win=20085 Len=12"
"21","Jul 14, 2025 09:56:43.058330000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   337; Unit:   1, Func:   1: Read Coils"
"22","Jul 14, 2025 09:56:43.060967000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=33 Ack=49 Win=502 Len=10"
"23","Jul 14, 2025 09:56:43.117355000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=49 Ack=43 Win=20075 Len=0"
"24","Jul 14, 2025 09:56:43.119817000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 23#1] 64279 → 502 [ACK] Seq=49 Ack=43 Win=20075 Len=0"
"25","Jul 14, 2025 09:56:43.226290000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   338; Unit:   1, Func:   4: Read Input Registers"
"26","Jul 14, 2025 09:56:43.227840000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=49 Ack=43 Win=20075 Len=12"
"27","Jul 14, 2025 09:56:43.230568000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   338; Unit:   1, Func:   4: Read Input Registers"
"28","Jul 14, 2025 09:56:43.232178000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=43 Ack=61 Win=502 Len=11"
"29","Jul 14, 2025 09:56:43.274841000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=61 Ack=54 Win=20064 Len=0"
"30","Jul 14, 2025 09:56:43.277835000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 29#1] 64279 → 502 [ACK] Seq=61 Ack=54 Win=20064 Len=0"
"31","Jul 14, 2025 09:56:43.394454000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   339; Unit:   1, Func:   3: Read Holding Registers"
"32","Jul 14, 2025 09:56:43.396739000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=61 Ack=54 Win=20064 Len=12"
"33","Jul 14, 2025 09:56:43.401655000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   339; Unit:   1, Func:   3: Read Holding Registers"
"34","Jul 14, 2025 09:56:43.403084000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=54 Ack=73 Win=502 Len=11"
"35","Jul 14, 2025 09:56:43.451249000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=73 Ack=65 Win=20053 Len=0"
"36","Jul 14, 2025 09:56:43.452557000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 35#1] 64279 → 502 [ACK] Seq=73 Ack=65 Win=20053 Len=0"
"37","Jul 14, 2025 09:56:43.568653000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   340; Unit:   1, Func:   1: Read Coils"
"38","Jul 14, 2025 09:56:43.569476000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=73 Ack=65 Win=20053 Len=12"
"39","Jul 14, 2025 09:56:43.570680000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   340; Unit:   1, Func:   1: Read Coils"
"40","Jul 14, 2025 09:56:43.571321000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=65 Ack=85 Win=502 Len=10"
"41","Jul 14, 2025 09:56:43.626251000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=85 Ack=75 Win=20043 Len=0"
"42","Jul 14, 2025 09:56:43.628647000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 41#1] 64279 → 502 [ACK] Seq=85 Ack=75 Win=20043 Len=0"
"43","Jul 14, 2025 09:56:43.743931000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   341; Unit:   1, Func:   4: Read Input Registers"
"44","Jul 14, 2025 09:56:43.746438000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=85 Ack=75 Win=20043 Len=12"
"45","Jul 14, 2025 09:56:43.750974000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   341; Unit:   1, Func:   4: Read Input Registers"
