frame.number,frame.time,ip.src,ip.dst,vlan.id,eth.type,tcp.srcport,tcp.dstport
1,Jul 14, 2025 09:56:42.544613000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
2,Jul 14, 2025 09:56:42.546748000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
3,Jul 14, 2025 09:56:42.550020000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
4,Jul 14, 2025 09:56:42.554256000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
5,Jul 14, 2025 09:56:42.595892000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
6,Jul 14, 2025 09:56:42.598025000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
7,Jul 14, 2025 09:56:42.713525000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
8,Jul 14, 2025 09:56:42.715368000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
9,Jul 14, 2025 09:56:42.718758000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
10,Jul 14, 2025 09:56:42.720372000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
11,Jul 14, 2025 09:56:42.765443000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
12,Jul 14, 2025 09:56:42.767487000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
13,Jul 14, 2025 09:56:42.880702000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
14,Jul 14, 2025 09:56:42.884067000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
15,Jul 14, 2025 09:56:42.888324000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
16,Jul 14, 2025 09:56:42.889415000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
17,Jul 14, 2025 09:56:42.936557000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
18,Jul 14, 2025 09:56:42.939565000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
19,Jul 14, 2025 09:56:43.054047000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
20,Jul 14, 2025 09:56:43.055515000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
21,Jul 14, 2025 09:56:43.058330000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
22,Jul 14, 2025 09:56:43.060967000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
23,Jul 14, 2025 09:56:43.117355000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
24,Jul 14, 2025 09:56:43.119817000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
25,Jul 14, 2025 09:56:43.226290000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
26,Jul 14, 2025 09:56:43.227840000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
27,Jul 14, 2025 09:56:43.230568000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
28,Jul 14, 2025 09:56:43.232178000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
29,Jul 14, 2025 09:56:43.274841000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
30,Jul 14, 2025 09:56:43.277835000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
31,Jul 14, 2025 09:56:43.394454000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
32,Jul 14, 2025 09:56:43.396739000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
33,Jul 14, 2025 09:56:43.401655000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
34,Jul 14, 2025 09:56:43.403084000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
35,Jul 14, 2025 09:56:43.451249000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
36,Jul 14, 2025 09:56:43.452557000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
37,Jul 14, 2025 09:56:43.568653000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
38,Jul 14, 2025 09:56:43.569476000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
39,Jul 14, 2025 09:56:43.570680000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
40,Jul 14, 2025 09:56:43.571321000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
41,Jul 14, 2025 09:56:43.626251000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
42,Jul 14, 2025 09:56:43.628647000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
43,Jul 14, 2025 09:56:43.743931000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
44,Jul 14, 2025 09:56:43.746438000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
45,Jul 14, 2025 09:56:43.750974000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
46,Jul 14, 2025 09:56:43.753775000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
47,Jul 14, 2025 09:56:43.800289000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
48,Jul 14, 2025 09:56:43.803711000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
49,Jul 14, 2025 09:56:43.913844000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
50,Jul 14, 2025 09:56:43.916840000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
51,Jul 14, 2025 09:56:43.919607000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
52,Jul 14, 2025 09:56:43.921685000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
53,Jul 14, 2025 09:56:43.973162000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
54,Jul 14, 2025 09:56:43.974997000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
55,Jul 14, 2025 09:56:44.089672000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
56,Jul 14, 2025 09:56:44.091641000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
57,Jul 14, 2025 09:56:44.093124000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
58,Jul 14, 2025 09:56:44.095728000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
59,Jul 14, 2025 09:56:44.145732000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
60,Jul 14, 2025 09:56:44.147107000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
61,Jul 14, 2025 09:56:44.256105000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
62,Jul 14, 2025 09:56:44.258858000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
63,Jul 14, 2025 09:56:44.262366000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
64,Jul 14, 2025 09:56:44.265108000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
65,Jul 14, 2025 09:56:44.321788000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
66,Jul 14, 2025 09:56:44.322734000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
67,Jul 14, 2025 09:56:44.430388000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
68,Jul 14, 2025 09:56:44.432180000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
69,Jul 14, 2025 09:56:44.435691000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
70,Jul 14, 2025 09:56:44.438443000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
71,Jul 14, 2025 09:56:44.480406000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
72,Jul 14, 2025 09:56:44.481042000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
73,Jul 14, 2025 09:56:44.604448000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
74,Jul 14, 2025 09:56:44.607646000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
75,Jul 14, 2025 09:56:44.611387000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
76,Jul 14, 2025 09:56:44.613695000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
77,Jul 14, 2025 09:56:44.665012000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
78,Jul 14, 2025 09:56:44.667035000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
79,Jul 14, 2025 09:56:44.775785000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
80,Jul 14, 2025 09:56:44.777789000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
81,Jul 14, 2025 09:56:44.780379000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
82,Jul 14, 2025 09:56:44.782538000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
83,Jul 14, 2025 09:56:44.832495000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
84,Jul 14, 2025 09:56:44.833159000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
85,Jul 14, 2025 09:56:44.953673000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
86,Jul 14, 2025 09:56:44.956684000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
87,Jul 14, 2025 09:56:44.958668000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
88,Jul 14, 2025 09:56:44.960335000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
89,Jul 14, 2025 09:56:45.004540000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
90,Jul 14, 2025 09:56:45.006564000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
91,Jul 14, 2025 09:56:45.128684000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
92,Jul 14, 2025 09:56:45.131475000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
93,Jul 14, 2025 09:56:45.135730000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
94,Jul 14, 2025 09:56:45.137059000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
95,Jul 14, 2025 09:56:45.182461000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
96,Jul 14, 2025 09:56:45.183632000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
97,Jul 14, 2025 09:56:45.306669000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
98,Jul 14, 2025 09:56:45.308330000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
99,Jul 14, 2025 09:56:45.311478000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
100,Jul 14, 2025 09:56:45.312777000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
101,Jul 14, 2025 09:56:45.369028000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
102,Jul 14, 2025 09:56:45.372735000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
103,Jul 14, 2025 09:56:45.476788000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
104,Jul 14, 2025 09:56:45.478511000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
105,Jul 14, 2025 09:56:45.481019000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
106,Jul 14, 2025 09:56:45.482285000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
107,Jul 14, 2025 09:56:45.530377000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
108,Jul 14, 2025 09:56:45.531161000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
109,Jul 14, 2025 09:56:45.652087000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
110,Jul 14, 2025 09:56:45.654557000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
111,Jul 14, 2025 09:56:45.656526000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
112,Jul 14, 2025 09:56:45.659187000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
113,Jul 14, 2025 09:56:45.710840000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
114,Jul 14, 2025 09:56:45.711874000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
115,Jul 14, 2025 09:56:45.832869000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
116,Jul 14, 2025 09:56:45.833954000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
117,Jul 14, 2025 09:56:45.836790000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
118,Jul 14, 2025 09:56:45.838674000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
119,Jul 14, 2025 09:56:45.881614000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
120,Jul 14, 2025 09:56:45.882487000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
121,Jul 14, 2025 09:56:46.002762000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
122,Jul 14, 2025 09:56:46.004723000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
123,Jul 14, 2025 09:56:46.006674000 EDT,10.10.10.10,10.10.20.30,10,0x8100,502,64279
124,Jul 14, 2025 09:56:46.007935000 EDT,10.10.10.10,10.10.20.30,20,0x8100,502,64279
125,Jul 14, 2025 09:56:46.053966000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
126,Jul 14, 2025 09:56:46.055681000 EDT,10.10.20.30,10.10.10.10,10,0x8100,64279,502
127,Jul 14, 2025 09:56:46.177454000 EDT,10.10.20.30,10.10.10.10,20,0x8100,64279,502
