"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   334; Unit:   1, Func:   1: Read Coils"
"2","0.002135","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=1 Ack=1 Win=20117 Len=12"
"3","0.005407","10.10.10.10","10.10.20.30","Modbus/TCP","68","Response: Trans:   334; Unit:   1, Func:   1: Read Coils"
"4","0.009643","10.10.10.10","10.10.20.30","TCP","68","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=1 Ack=13 Win=502 Len=10"
"5","0.051279","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=13 Ack=11 Win=20107 Len=0"
"6","0.053412","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 5#1] 64279  >  502 [ACK] Seq=13 Ack=11 Win=20107 Len=0"
"7","0.168912","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   335; Unit:   1, Func:   4: Read Input Registers"
"8","0.170755","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=13 Ack=11 Win=20107 Len=12"
"9","0.174145","10.10.10.10","10.10.20.30","Modbus/TCP","69","Response: Trans:   335; Unit:   1, Func:   4: Read Input Registers"
"10","0.175759","10.10.10.10","10.10.20.30","TCP","69","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=11 Ack=25 Win=502 Len=11"
"11","0.220830","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=25 Ack=22 Win=20096 Len=0"
"12","0.222874","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 11#1] 64279  >  502 [ACK] Seq=25 Ack=22 Win=20096 Len=0"
"13","0.336089","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   336; Unit:   1, Func:   3: Read Holding Registers"
"14","0.339454","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=25 Ack=22 Win=20096 Len=12"
"15","0.343711","10.10.10.10","10.10.20.30","Modbus/TCP","69","Response: Trans:   336; Unit:   1, Func:   3: Read Holding Registers"
"16","0.344802","10.10.10.10","10.10.20.30","TCP","69","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=22 Ack=37 Win=502 Len=11"
"17","0.391944","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=37 Ack=33 Win=20085 Len=0"
"18","0.394952","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 17#1] 64279  >  502 [ACK] Seq=37 Ack=33 Win=20085 Len=0"
"19","0.509434","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   337; Unit:   1, Func:   1: Read Coils"
"20","0.510902","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=37 Ack=33 Win=20085 Len=12"
"21","0.513717","10.10.10.10","10.10.20.30","Modbus/TCP","68","Response: Trans:   337; Unit:   1, Func:   1: Read Coils"
"22","0.516354","10.10.10.10","10.10.20.30","TCP","68","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=33 Ack=49 Win=502 Len=10"
"23","0.572742","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=49 Ack=43 Win=20075 Len=0"
"24","0.575204","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 23#1] 64279  >  502 [ACK] Seq=49 Ack=43 Win=20075 Len=0"
"25","0.681677","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   338; Unit:   1, Func:   4: Read Input Registers"
"26","0.683227","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=49 Ack=43 Win=20075 Len=12"
"27","0.685955","10.10.10.10","10.10.20.30","Modbus/TCP","69","Response: Trans:   338; Unit:   1, Func:   4: Read Input Registers"
"28","0.687565","10.10.10.10","10.10.20.30","TCP","69","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=43 Ack=61 Win=502 Len=11"
"29","0.730228","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=61 Ack=54 Win=20064 Len=0"
"30","0.733222","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 29#1] 64279  >  502 [ACK] Seq=61 Ack=54 Win=20064 Len=0"
"31","0.849841","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   339; Unit:   1, Func:   3: Read Holding Registers"
"32","0.852126","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=61 Ack=54 Win=20064 Len=12"
"33","0.857042","10.10.10.10","10.10.20.30","Modbus/TCP","69","Response: Trans:   339; Unit:   1, Func:   3: Read Holding Registers"
"34","0.858471","10.10.10.10","10.10.20.30","TCP","69","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=54 Ack=73 Win=502 Len=11"
"35","0.906636","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=73 Ack=65 Win=20053 Len=0"
"36","0.907944","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 35#1] 64279  >  502 [ACK] Seq=73 Ack=65 Win=20053 Len=0"
"37","1.024040","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   340; Unit:   1, Func:   1: Read Coils"
"38","1.024863","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=73 Ack=65 Win=20053 Len=12"
"39","1.026067","10.10.10.10","10.10.20.30","Modbus/TCP","68","Response: Trans:   340; Unit:   1, Func:   1: Read Coils"
"40","1.026708","10.10.10.10","10.10.20.30","TCP","68","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=65 Ack=85 Win=502 Len=10"
"41","1.081638","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=85 Ack=75 Win=20043 Len=0"
"42","1.084034","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 41#1] 64279  >  502 [ACK] Seq=85 Ack=75 Win=20043 Len=0"
"43","1.199318","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   341; Unit:   1, Func:   4: Read Input Registers"
"44","1.201825","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=85 Ack=75 Win=20043 Len=12"
"45","1.206361","10.10.10.10","10.10.20.30","Modbus/TCP","69","Response: Trans:   341; Unit:   1, Func:   4: Read Input Registers"
"46","1.209162","10.10.10.10","10.10.20.30","TCP","69","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=75 Ack=97 Win=502 Len=11"
"47","1.255676","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=97 Ack=86 Win=20032 Len=0"
"48","1.259098","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 47#1] 64279  >  502 [ACK] Seq=97 Ack=86 Win=20032 Len=0"
"49","1.369231","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   342; Unit:   1, Func:   3: Read Holding Registers"
"50","1.372227","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=97 Ack=86 Win=20032 Len=12"
"51","1.374994","10.10.10.10","10.10.20.30","Modbus/TCP","69","Response: Trans:   342; Unit:   1, Func:   3: Read Holding Registers"
"52","1.377072","10.10.10.10","10.10.20.30","TCP","69","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=86 Ack=109 Win=502 Len=11"
"53","1.428549","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=109 Ack=97 Win=20021 Len=0"
"54","1.430384","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 53#1] 64279  >  502 [ACK] Seq=109 Ack=97 Win=20021 Len=0"
"55","1.545059","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   343; Unit:   1, Func:   1: Read Coils"
"56","1.547028","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=109 Ack=97 Win=20021 Len=12"
"57","1.548511","10.10.10.10","10.10.20.30","Modbus/TCP","68","Response: Trans:   343; Unit:   1, Func:   1: Read Coils"
"58","1.551115","10.10.10.10","10.10.20.30","TCP","68","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=97 Ack=121 Win=502 Len=10"
"59","1.601119","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=121 Ack=107 Win=20011 Len=0"
"60","1.602494","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 59#1] 64279  >  502 [ACK] Seq=121 Ack=107 Win=20011 Len=0"
"61","1.711492","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   344; Unit:   1, Func:   4: Read Input Registers"
"62","1.714245","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=121 Ack=107 Win=20011 Len=12"
"63","1.717753","10.10.10.10","10.10.20.30","Modbus/TCP","69","Response: Trans:   344; Unit:   1, Func:   4: Read Input Registers"
"64","1.720495","10.10.10.10","10.10.20.30","TCP","69","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=107 Ack=133 Win=502 Len=11"
"65","1.777175","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=133 Ack=118 Win=20000 Len=0"
