frame.number,frame.time,eth.src,eth.dst,eth.type,ip.src,ip.dst,tcp.srcport,tcp.dstport,_ws.col.protocol,_ws.col.info
"1","Jul 14, 2025 10:19:42.313387000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   471; Unit:   1, Func:   6: Write Single Register"
"2","Jul 14, 2025 10:19:42.314510000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=1 Ack=1 Win=19840 Len=12"
"3","Jul 14, 2025 10:19:42.316367000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   471; Unit:   1, Func:   6: Write Single Register"
"4","Jul 14, 2025 10:19:42.317511000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=1 Ack=13 Win=502 Len=12"
"5","Jul 14, 2025 10:19:42.339173000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   472; Unit:   1, Func:   3: Read Holding Registers"
"6","Jul 14, 2025 10:19:42.342594000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=13 Ack=13 Win=19828 Len=12"
"7","Jul 14, 2025 10:19:42.345610000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   472; Unit:   1, Func:   3: Read Holding Registers"
"8","Jul 14, 2025 10:19:42.348096000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=13 Ack=25 Win=502 Len=11"
"9","Jul 14, 2025 10:19:42.351048000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","1.1.1.1",,,"DNS","Standard query 0xf487 A chrome.cloudflare-dns.com"
"10","Jul 14, 2025 10:19:42.351911000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.20.1,10.10.20.30","10.10.20.30,1.1.1.1",,,"ICMP","Destination unreachable (Host unreachable)"
"11","Jul 14, 2025 10:19:42.362469000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","1.1.1.1",,,"DNS","Standard query 0xe0d2 A aka.ms"
"12","Jul 14, 2025 10:19:42.363240000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","1.1.1.1",,,"DNS","Standard query 0xd841 A ecs.office.com"
"13","Jul 14, 2025 10:19:42.364196000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.20.1,10.10.20.30","10.10.20.30,1.1.1.1",,,"ICMP","Destination unreachable (Host unreachable)"
"14","Jul 14, 2025 10:19:42.364924000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.20.1,10.10.20.30","10.10.20.30,1.1.1.1",,,"ICMP","Destination unreachable (Host unreachable)"
"15","Jul 14, 2025 10:19:42.400508000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=25 Ack=24 Win=19817 Len=0"
"16","Jul 14, 2025 10:19:42.403696000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 15#1] 64279 → 502 [ACK] Seq=25 Ack=24 Win=19817 Len=0"
"17","Jul 14, 2025 10:19:42.511190000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   473; Unit:   1, Func:   1: Read Coils"
"18","Jul 14, 2025 10:19:42.512082000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=25 Ack=24 Win=19817 Len=12"
"19","Jul 14, 2025 10:19:42.513702000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   473; Unit:   1, Func:   1: Read Coils"
"20","Jul 14, 2025 10:19:42.516060000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=24 Ack=37 Win=502 Len=10"
"21","Jul 14, 2025 10:19:42.567259000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=37 Ack=34 Win=19807 Len=0"
"22","Jul 14, 2025 10:19:42.568404000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 21#1] 64279 → 502 [ACK] Seq=37 Ack=34 Win=19807 Len=0"
"23","Jul 14, 2025 10:19:42.683455000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   474; Unit:   1, Func:   4: Read Input Registers"
"24","Jul 14, 2025 10:19:42.685409000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=37 Ack=34 Win=19807 Len=12"
"25","Jul 14, 2025 10:19:42.688795000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   474; Unit:   1, Func:   4: Read Input Registers"
"26","Jul 14, 2025 10:19:42.691517000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=34 Ack=49 Win=502 Len=11"
"27","Jul 14, 2025 10:19:42.748124000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=49 Ack=45 Win=19796 Len=0"
"28","Jul 14, 2025 10:19:42.750680000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 27#1] 64279 → 502 [ACK] Seq=49 Ack=45 Win=19796 Len=0"
"29","Jul 14, 2025 10:19:42.864829000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   475; Unit:   1, Func:   3: Read Holding Registers"
