frame.number,frame.time,eth.src,eth.dst,eth.type,ip.src,ip.dst,tcp.srcport,tcp.dstport,_ws.col.protocol,_ws.col.info
"1","Jul 14, 2025 10:10:32.849279000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   266; Unit:   1, Func:   1: Read Coils"
"2","Jul 14, 2025 10:10:32.856167000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=1 Ack=1 Win=20106 Len=12"
"3","Jul 14, 2025 10:10:32.859835000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   266; Unit:   1, Func:   1: Read Coils"
"4","Jul 14, 2025 10:10:32.862999000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=1 Ack=13 Win=502 Len=10"
"5","Jul 14, 2025 10:10:32.919304000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=13 Ack=11 Win=20096 Len=0"
"6","Jul 14, 2025 10:10:32.924561000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 5#1] 64279 → 502 [ACK] Seq=13 Ack=11 Win=20096 Len=0"
"7","Jul 14, 2025 10:10:33.024884000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   267; Unit:   1, Func:   4: Read Input Registers"
"8","Jul 14, 2025 10:10:33.028337000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=13 Ack=11 Win=20096 Len=12"
"9","Jul 14, 2025 10:10:33.037169000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   267; Unit:   1, Func:   4: Read Input Registers"
"10","Jul 14, 2025 10:10:33.039658000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=11 Ack=25 Win=502 Len=11"
"11","Jul 14, 2025 10:10:33.097380000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=25 Ack=22 Win=20085 Len=0"
"12","Jul 14, 2025 10:10:33.101974000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 11#1] 64279 → 502 [ACK] Seq=25 Ack=22 Win=20085 Len=0"
"13","Jul 14, 2025 10:10:33.187255000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   268; Unit:   1, Func:   3: Read Holding Registers"
"14","Jul 14, 2025 10:10:33.190769000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=25 Ack=22 Win=20085 Len=12"
"15","Jul 14, 2025 10:10:33.195194000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   268; Unit:   1, Func:   3: Read Holding Registers"
"16","Jul 14, 2025 10:10:33.196921000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=22 Ack=37 Win=502 Len=11"
"17","Jul 14, 2025 10:10:33.245915000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=37 Ack=33 Win=20074 Len=0"
"18","Jul 14, 2025 10:10:33.248473000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 17#1] 64279 → 502 [ACK] Seq=37 Ack=33 Win=20074 Len=0"
"19","Jul 14, 2025 10:10:33.364991000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   269; Unit:   1, Func:   1: Read Coils"
"20","Jul 14, 2025 10:10:33.368408000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=37 Ack=33 Win=20074 Len=12"
"21","Jul 14, 2025 10:10:33.371153000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   269; Unit:   1, Func:   1: Read Coils"
